;Unnamed: 0;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment;topic_words
12;12;2018-03-14 13:54:50;50993;973920392543793152;False;11888;Twitter for iPhone;"Five of our incredible @Cabinet Secretaries are testifying on the Hill this morning on the need to rebuild our Nationâ€™s crumbling infrastructure. We need to build FAST &amp; we need to build for our FUTURE. Thank you @SenateCommerce for hosting this hearing! #InfrastructureInAmerica";0.4199;['history', 'fundamentals', 'time']
13;13;2018-03-14 13:12:09;67853;973909651065528320;False;13125;Twitter for iPhone;Perhaps at no time in history have the business fundamentals of U.S. companies been better than they are today!;0.2481;['obstruction', 'people', 'Worst']
14;14;2018-03-14 13:02:11;83987;973907142649397248;False;24699;Twitter for iPhone;Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by the Democrats in the Senate. Many important positions in Government are unfilled because of this obstruction. Worst in U.S. history!;-0.1043;['Bless', 'God', 'nation']
15;15;2018-03-14 00:34:44;79215;973719038982479872;False;18318;Twitter for iPhone;All across this nation, we pray for our country and we THANK GOD for our United States Marines! Thank you. God Bless You. And God Bless America! https://t.co/vKXBd0CGH1;0.9684;['heart', 'message', 'People']
16;16;2018-03-14 00:25:59;68302;973716838889660416;False;15107;Twitter for iPhone;It was my great honor to deliver a message at the Marine Corps Air Station Miramar to our GREAT U.S. Military, straight from the heart of the American People: We support you, we thank you, we love you - and we will always have your back! https://t.co/oCt1nH3DON;0.9742;['heart', 'message', 'People']
17;17;2018-03-13 23:55:27;14594;973709151510528000;False;3687;Twitter for iPhone;It was my great honor to deliver a message at the Marine Core Air Station Miramar to our GREAT U.S. Military, straight from the heart of the American People: We support you, we thank you, we love you - and we will always have your back! https://t.co/NEGCR6rM7Y;0.9742;['country', 'people', 'security']
18;18;2018-03-13 22:23:26;90201;973685997312491520;False;25133;Twitter for iPhone;"If we donâ€™t have a wall system, weâ€™re not going to have a country. Congress must fund the BORDER WALL &amp; prohibit grants to sanctuary jurisdictions that threaten the security of our country &amp; the people of our country. We must enforce our laws &amp; protect our people! #BuildTheWall https://t.co/NGqNueukvj";0.5562;['policies', 'risk', 'safety']
19;19;2018-03-13 15:27:18;120699;973581274215473152;False;31937;Twitter for iPhone;"Californiaâ€™s sanctuary policies are illegal and unconstitutional and put the safety and security of our entire nation at risk. Thousands of dangerous &amp; violent criminal aliens are released as a result of sanctuary policies, set free to prey on innocent Americans. THIS MUST STOP!";-0.8564;['dole', 'immigrants', 't.co/NdLC6jZwWE']
20;20;2018-03-13 15:24:23;66226;973580538358374400;False;19650;Twitter for iPhone;â€œAccording to the Center for Immigration Studies, the $18 billion wall will pay for itself by curbing the importation of crime, drugs and illegal immigrants who tend to go on the federal dole...â€� https://t.co/NdLC6jZwWE;-0.8176;['prototypes', 'WALL', 'BORDER']
21;21;2018-03-13 14:37:15;83946;973568677189595136;False;16730;Twitter for iPhone;Heading to see the BORDER WALL prototypes in California! https://t.co/fU6Ukc271l;0.0;['Director', 'CIA', 'Thank']
22;22;2018-03-13 12:44:33;119590;973540316656623616;False;40896;Twitter for iPhone;Mike Pompeo, Director of the CIA, will become our new Secretary of State. He will do a fantastic job! Thank you to Rex Tillerson for his service! Gina Haspel will become the new Director of the CIA, and the first woman so chosen. Congratulations to all!;0.9033;['Vote', 'Jobs', ' Saccone']
23;23;2018-03-13 12:28:03;73307;973536164044034048;False;16977;Twitter for iPhone;The Economy is raging, at an all time high, and is set to get even better. Jobs and wages up. Vote for Rick Saccone and keep it going!;-0.2003;['THE', 'INFLUENCE', 'INVESTIGATION']
24;24;2018-03-13 00:49:27;158902;973360355790479360;False;44976;Twitter for iPhone;THE HOUSE INTELLIGENCE COMMITTEE HAS, AFTER A 14 MONTH LONG IN-DEPTH INVESTIGATION, FOUND NO EVIDENCE OF COLLUSION OR COORDINATION BETWEEN THE TRUMP CAMPAIGN AND RUSSIA TO INFLUENCE THE 2016 PRESIDENTIAL ELECTION.;0.2263;['Series', 'WhiteHouse', 'honor']
25;25;2018-03-12 21:13:12;73441;973305935685963776;False;14580;Twitter for iPhone;It was my great honor to welcome the 2017 World Series Champion Houston @Astros to the @WhiteHouse! #HoustonStrong https://t.co/IO6B42jixA;0.9381;['Will', 'experience', 'Rick']
26;26;2018-03-12 14:43:36;49032;973207890084401152;False;12923;Twitter for iPhone;The Pittsburgh Post Gazette just endorsed Rick Saccone for Congress. He will be much better for steel and business. Very strong on experience and what our Country needs. Lamb will always vote for Pelosi and Dems....Will raise taxes, weak on Crime and Border.;0.2716;['zones', 'schools', 'violence']
27;27;2018-03-12 14:12:11;76552;973199981292216320;False;18294;Twitter for iPhone;If schools are mandated to be gun free zones, violence and danger are given an open invitation to enter. Almost all school shootings are in gun free zones. Cowards will only go where there is no deterrent!;-0.8016;['cases', 'court', 'rulings']
28;28;2018-03-12 13:22:38;54013;973187513731944448;False;10929;Twitter for iPhone;....On 18 to 21 Age Limits, watching court cases and rulings before acting. States are making this decision. Things are moving rapidly on this, but not much political support (to put it mildly).;-0.43799999999999994;['deterrent', 'improvement', 'checks']
29;29;2018-03-12 13:15:57;79572;973185831547670528;False;17031;Twitter for iPhone;Very strong improvement and strengthening of background checks will be fully backed by White House. Legislation moving forward. Bump Stocks will soon be out. Highly trained expert teachers will be allowed to conceal carry, subject to State Law. Armed guards OK, deterrent!.......;0.9286;['farmers', 'manufacturers', 'Tariffs']
30;30;2018-03-12 12:20:03;65990;973171763835228160;False;15343;Twitter for iPhone;Secretary of Commerce Wilbur Ross will be speaking with representatives of the European Union about eliminating the large Tariffs and Barriers they use against the U.S.A. Not fair to our farmers and manufacturers.;0.3182;['ratings', 'approval', 'others']
31;31;2018-03-11 15:16:22;105128;972853747750711296;False;24869;Twitter for iPhone;Rasmussen and others have my approval ratings at around 50%, which is higher than Obama, and yet the political pundits love saying my approval ratings are â€œsomewhat low.â€� They know they are lying when they say it. Turn off the show - FAKE NEWS!;0.536;['hundreds', 'people', 'government']
32;32;2018-03-11 14:49:29;90738;972846978823610368;False;24943;Twitter for iPhone;The Democrats continue to Obstruct the confirmation of hundreds of good and talented people who are needed to run our government...A record in U.S. history. State Department, Ambassadors and many others are being slow walked. Senate must approve NOW!;0.7574;['point', 'win', 'Tuesday']
33;33;2018-03-11 14:02:23;77062;972835128056664064;False;18425;Twitter for iPhone;The Republicans are 5-0 in recent Congressional races, a point which the Fake News Media continuously fails to mention. I backed and campaigned for all of the winners. They give me credit for one. Hopefully, Rick Saccone will be another big win on Tuesday.;0.7506;['Collusion', 'flunky', 'story']
34;34;2018-03-11 13:50:47;84314;972832210222043136;False;19909;Twitter for iPhone;...have shown conclusively that there was no Collusion with Russia..just excuse for losing. The only Collusion was that done by the DNC, the Democrats and Crooked Hillary. The writer of the story, Maggie Haberman, a Hillary flunky, knows nothing about me and is not given access.;-0.743;['job', 'lawyers', 'case']
35;35;2018-03-11 13:41:04;89058;972829763067883520;False;20117;Twitter for iPhone;The Failing New York Times purposely wrote a false story stating that I am unhappy with my legal team on the Russia case and am going to add another lawyer to help out. Wrong. I am VERY happy with my lawyers, John Dowd, Ty Cobb and Jay Sekulow. They are doing a great job and.....;0.7526;['VOTE', 'crowd', 'Tuesday']
36;36;2018-03-11 01:37:31;72314;972647673944780800;False;19183;Twitter for iPhone;Epic crowd in Moon Township, Pennsylvania tonight. Thank you! Get out on Tuesday and VOTE for Rick @Saccone4PA18. Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/ckbCOsDQ2l;0.8367;['Moon', 'Pennsylvania', 'rally']
37;37;2018-03-10 23:56:47;41840;972622325454659584;False;7639;Twitter for iPhone;"Join me LIVE in Moon Township, Pennsylvania at 7:00pmE. Great crowd for a #MAGA rally!
https://t.co/PYJNg0WGDL";0.7644;['tariffs', 'U.S.', 'drop']
38;38;2018-03-10 21:29:37;98882;972585290857672704;False;24197;Twitter for iPhone;"The European Union, wonderful countries who treat the U.S. very badly on trade, are complaining about the tariffs on Steel &amp; Aluminum. If they drop their horrific barriers &amp; tariffs on U.S. products going in, we will likewise drop ours. Big Deficit. If not, we Tax Cars etc. FAIR!";-0.747;['morning', 'news', 'leader']
39;39;2018-03-10 20:02:02;88692;972563247160274944;False;21648;Twitter for iPhone;"In the first hours after hearing that North Koreaâ€™s leader wanted to meet with me to talk denuclearization and that missile launches will end, the press was startled &amp; amazed.They couldnâ€™t believe it. But by the following morning the news became FAKE.They said so what, who cares!";0.4321;['Test', 'November', 'commitment']
40;40;2018-03-10 18:38:17;89697;972542173030879232;False;18020;Twitter for iPhone;North Korea has not conducted a Missile Test since November 28, 2017 and has promised not to do so through our meetings. I believe they will honor that commitment!;0.8221;['Rick', 'crime', 'border']
41;41;2018-03-10 18:22:10;63071;972538115901607936;False;13858;Twitter for iPhone;"Heading to Moon Township, Pennsylvania, to be with a really good person, State Representative Rick Saccone, who is running for Congress. Big &amp; happy crowd (why not, some of the best economic numbers ever). Rick will help me a lot. Also, tough on crime &amp; border. Loves 2nd A &amp; VETS";0.9259;['Japan', 'talks', 'Spoke']
42;42;2018-03-10 17:23:16;71751;972523294233710592;False;16885;Twitter for iPhone;Spoke to Prime Minister Abe of Japan, who is very enthusiastic about talks with North Korea. Also discussing opening up Japan to much better trade with the U.S. Currently have a massive $100 Billion Trade Deficit. Not fair or sustainable. It will all work out!;0.7419;['President', 'XI', 'alternative']
43;43;2018-03-10 16:15:19;90590;972506194978983936;False;19171;Twitter for iPhone;Chinese President XI JINPING and I spoke at length about the meeting with KIM JONG UN of North Korea. President XI told me he appreciates that the U.S. is working to solve the problem diplomatically rather than going with the ominous alternative. China continues to be helpful!;0.4753;['Navy', 'Kristian', 'life']
44;44;2018-03-10 15:52:04;85534;972500344197566464;False;18775;Twitter for iPhone;Congratulations to Kristian Saucier, a man who has served proudly in the Navy, on your newly found Freedom. Now you can go out and have the life you deserve!;0.9184;['XI', 'President', 'alternative']
45;45;2018-03-10 15:22:14;26530;972492834073927680;False;6386;Twitter for iPhone;Chinese President XI XINPING and I spoke at length about the meeting with KIM JONG UN of North Korea. President XI told me he appreciates that the U.S. is working to solve the problem diplomatically rather than going with the ominous alternative. China continues to be helpful!;0.4753;['situation', 'loss', 'Veterans']
46;46;2018-03-10 13:38:51;74705;972466816114032640;False;14101;Twitter for iPhone;We are deeply saddened by the tragic situation in Yountville and mourn the loss of three incredible women who cared for our Veterans.;-0.8399;['making', 'World', 'one']
47;47;2018-03-10 00:42:49;125539;972271520847466496;False;27217;Twitter for iPhone;The deal with North Korea is very much in the making and will be, if completed, a very good one for the World. Time and place to be determined.;0.6801;['Australia', 'security', 'tariffs']
48;48;2018-03-09 22:48:52;78038;972242845636669440;False;17369;Twitter for iPhone;Spoke to PM @TurnbullMalcolm of Australia. He is committed to having a very fair and reciprocal military and trade relationship. Working very quickly on a security agreement so we donâ€™t have to impose steel or aluminum tariffs on our ally, the great nation of Australia!;0.9144;['JOBS', 'work', 'support']
49;49;2018-03-09 20:40:53;54099;972210637018423296;False;13163;Twitter for iPhone;Thatâ€™s right @RepBost! Thank you for your support in helping put America back to work. Itâ€™s about JOBS, JOBS, JOBS for our incredible workers and putting AMERICA FIRST! https://t.co/ChUQEa6rsC;0.7896;['Rick', 'support', 'Saccone4PA18']
50;50;2018-03-09 20:35:10;53671;972209197935980544;False;12523;Twitter for iPhone;Look forward to being in Pennsylvania tomorrow in support of Rick @Saccone4PA18. Big crowd expected in Moon Township. Vote Rick and see you there! #MAGA;0.4574;['period', 'progress', 'missile']
52;52;2018-03-09 01:08:14;173880;971915531346436096;False;45930;Twitter for iPhone;Kim Jong Un talked about denuclearization with the South Korean Representatives, not just a freeze. Also, no missile testing by North Korea during this period of time. Great progress being made but sanctions will remain until an agreement is reached. Meeting being planned!;0.8388;['Proclamation', 'Remarks', 'Steel']
53;53;2018-03-08 22:17:04;52422;971872457182326784;False;12346;Twitter for iPhone;"â€œPresidential Proclamation on Adjusting Imports of Aluminum into the United Statesâ€� 
 
Proclamation: https://t.co/aCaMtOUAl0
Remarks: https://t.co/nypErcqFSU https://t.co/rcrkpvChkz";0.4215;['t.co/InWj0QTosz', 'WhiteHouse', 'Cabinet']
54;54;2018-03-08 22:16:36;43179;971872339330781184;False;9497;Twitter for iPhone;"â€œPresidential Proclamation on Adjusting Imports of Steel into the United Statesâ€�
 
Proclamation: https://t.co/hxduwSoElz
Remarks: https://t.co/nypErcqFSU https://t.co/q92FDYZeUl";0.4215;['Lady', 'Melania', 't.co/EwYtFXGvn2']
55;55;2018-03-08 18:58:46;47611;971822550757138432;False;9229;Twitter for iPhone;Great meeting with @Cabinet at the @WhiteHouse today! #MAGA https://t.co/InWj0QTosz;0.6588;['military', 'today', 'friends']
56;56;2018-03-08 18:20:06;57958;971812821955735552;False;11923;Twitter for iPhone;"Happy #InternationalWomensDay

â€œFirst Lady Melania Trump to Present the 2018 International Women of Courage Awardâ€� https://t.co/EwYtFXGvn2";0.7845;['theft', 'U.S.', 'Intellectual']
57;57;2018-03-08 12:38:32;92583;971726862526361600;False;19223;Twitter for iPhone;"Looking forward to 3:30 P.M. meeting today at the White House. We have to protect &amp; build our Steel and Aluminum Industries while at the same time showing great flexibility and cooperation toward those that are real friends  and treat us fairly on both trade and the military.";0.9313;['China', 'relationship', 'plan']
58;58;2018-03-07 15:38:49;95124;971409845453762560;False;19616;Twitter for iPhone;The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to happen as it has for many years!;0.6281;['Trade', 'Dollars', 'Trillion']
59;59;2018-03-07 15:10:48;86188;971402791930552320;False;18938;Twitter for iPhone;China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Deficit with the United States. Our relationship with China has been a very good one, and we look forward to seeing what ideas they come back with. We must act soon!;0.5551;['Trade', 'Dollars', 'Trillion']
60;60;2018-03-07 11:40:29;128409;971349864125788160;False;35743;Twitter for iPhone;"From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulated Trade Deficits of more than 12 Trillion Dollars. Last year we had a Trade Deficit of almost 800 Billion Dollars. Bad Policies &amp; Leadership. Must WIN again!  #MAGA";-0.5038;['decision', 'appointment', 'job']
61;61;2018-03-07 11:24:42;2766;971345895223676928;False;1198;Twitter for iPhone;"@MarkBurnettTV @RealRomaDowney From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulated Trade Deficits of more than 12 Trillion Dollars. Last year we had a Trade Deficit of almost 800 Billion Dollars. Bad policies &amp; leadership. Must win again!  #MAGA";-0.6114;['progress', 'time', 'hope']
63;63;2018-03-07 00:49:30;87245;971186041171439616;False;16575;Twitter for iPhone;Will be making a decision soon on the appointment of new Chief Economic Advisor. Many people wanting the job - will choose wisely!;0.4753;['Problem', 'President', 'Stars']
64;64;2018-03-06 14:11:54;122229;971025582061424640;False;27914;Twitter for iPhone;Possible progress being made in talks with North Korea. For the first time in many years, a serious effort is being made by all parties concerned. The World is watching and waiting! May be false hope, but the U.S. is ready to go hard in either direction!;0.7772;['TuckerCarlson', 'FoxNews', 'pack']
65;65;2018-03-06 13:46:57;85376;971019306388611072;False;22675;Twitter for iPhone;Federal Judge in Maryland has just ruled that â€œPresident Trump has the right to end DACA.â€� President Obama had 8 years to fix this problem, and didnâ€™t. I am waiting for the Dems, they are running for the hills!;-0.5294;['jobs', 'security', 't.co/Ui8bubj7Yr']
66;66;2018-03-06 13:25:15;213422;971013841395027968;False;59671;Twitter for iPhone;Lowest rated Oscars in HISTORY. Problem is, we donâ€™t have Stars anymore - except your President (just kidding, of course)!;-0.636;['DACA', 'Dems', 'deal']
67;67;2018-03-06 13:07:08;0;971009285181276160;True;18585;Twitter for iPhone;RT @EricTrump: Congratulations @FoxNews: Fox has 15 of the top 20 shows with @SeanHannity and @TuckerCarlson leading the pack at 1st and 2nâ€¦;0.6908;['dialogue', 'people', 'White']
69;69;2018-03-06 13:02:59;52728;971008238673068032;False;13027;Twitter for iPhone;We are getting it done - jobs and security! https://t.co/Ui8bubj7Yr;0.4003;['investigation', 'meddling', 'Unprecedented']
70;70;2018-03-06 13:00:58;72201;971007733313961984;False;15383;Twitter for iPhone;Total inaction on DACA by Dems. Where are you? A deal can be made!;-0.3164;['AMERICA', 'American/JJ Steel', 'Country']
71;71;2018-03-06 12:55:35;97454;971006379375972352;False;22620;Twitter for iPhone;"The new Fake News narrative is that there is CHAOS in the White House. Wrong! People will always come &amp; go, and I want strong dialogue before making a final decision. I still have some people that I want to change (always seeking perfection). There is no Chaos, only great Energy!";-0.7916;['farmers', 'U.S', 'people']
72;72;2018-03-05 20:37:51;114003;970760324126212096;False;29972;Twitter for iPhone;Itâ€™s March 5th and the Democrats are nowhere to be found on DACA. Gave them 6 months, they just donâ€™t care. Where are they? We are ready to make a deal!;0.7177;['NAFTA', 'Canada', 'must..']
73;73;2018-03-05 13:22:29;131126;970650759091163136;False;39116;Twitter for iPhone;Why did the Obama Administration start an investigation into the Trump Campaign (with zero proof of wrongdoing) long before the Election in November? Wanted to discredit so Crooked H would win. Unprecedented. Bigger than Watergate! Plus, Obama did NOTHING about Russian meddling.;0.6548;['industries', 'time', 'friends']
74;74;2018-03-05 12:57:12;83753;970644394591309824;False;17435;Twitter for iPhone;To protect our Country we must protect American Steel! #AMERICA FIRST;0.6696;['fun', 'lot', 'something']
75;75;2018-03-05 11:53:48;85818;970628441115643904;False;18139;Twitter for iPhone;...treat our farmers much better. Highly restrictive. Mexico must do much more on stopping drugs from pouring into the U.S. They have not done what needs to be done. Millions of people addicted and dying.;0.2551;['imbalance', 'tariffs', 'cars']
76;76;2018-03-05 11:47:56;82005;970626966004162560;False;19319;Twitter for iPhone;"We have large trade deficits with Mexico and Canada. NAFTA, which is under renegotiation right now, has been a bad deal for U.S.A. Massive relocation of companies &amp; jobs. Tariffs on Steel and Aluminum will only come off if new &amp; fair NAFTA agreement is signed. Also, Canada must..";0.25;['stupidâ€�', 'wealth', 'policies']
77;77;2018-03-05 00:10:12;117600;970451373681790976;False;26620;Twitter for iPhone;We are on the losing side of almost all trade deals. Our friends and enemies have taken advantage of the U.S. for many years. Our Steel and Aluminum industries are dead. Sorry, itâ€™s time for a change! MAKE AMERICA GREAT AGAIN!;-0.2619;['t.co/4UGYuJpUA7', 'Theyâ€™ve', 'CRAZY']
78;78;2018-03-04 17:42:03;102091;970353692938469376;False;19935;Twitter for iPhone;The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better time doing something, and especially since this is for the American People!;0.742;[' Funeral', ' Graham', 'Billy']
79;79;2018-03-03 17:53:50;124778;969994273121820672;False;30881;Twitter for iPhone;If the E.U. wants to further increase their already massive tariffs and barriers on U.S. companies doing business there, we will simply apply a Tax on their Cars which freely pour into the U.S. They make it impossible for our cars (and more) to sell there. Big trade imbalance!;0.6696;['country', 'product', 'choice']
80;80;2018-03-03 17:43:26;130062;969991653393039360;False;31026;Twitter for iPhone;The United States has an $800 Billion Dollar Yearly Trade Deficit because of our â€œvery stupidâ€� trade deals and policies. Our jobs and wealth are being given to other countries that have taken advantage of us for years. They laugh at what fools our leaders have been. No more!;0.5848;['DONâ€™T', 'YOU', 'steel']
81;81;2018-03-03 17:33:53;74613;969989251537481728;False;20615;Twitter for iPhone;Mainstream Media in U.S. is being mocked all over the world. Theyâ€™ve gone CRAZY! https://t.co/4UGYuJpUA7;-0.6932;['family', 'T.V', 'Eric']
83;83;2018-03-02 20:31:22;8573;969671528991338496;False;1432;Twitter for iPhone;Heading to Billy Graham Funeral. A Special Man!;0.126;['trade', 'country', 'wars']
85;85;2018-03-02 13:57:22;124073;969572374977839104;False;31079;Twitter for iPhone;When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZERO, not fair or smart. We will soon be starting RECIPROCAL TAXES so that we will charge the same thing as they charge us. $800 Billion Trade Deficit-have no choice!;-0.6919;['meeting', 'Office', 'Great']
86;86;2018-03-02 13:01:58;104079;969558431802806272;False;22018;Twitter for iPhone;We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DONâ€™T HAVE STEEL, YOU DONâ€™T HAVE A COUNTRY!;-0.2942;['importance', 'YouthSports', 'ourâ€¦']
87;87;2018-03-02 11:18:28;54561;969532384285687808;False;11984;Twitter for iPhone;Eric, we are all with you and your family! Look forward to seeing you back on T.V. https://t.co/d6y3Q00BSy;0.0;['t.co/cN3TAQywpR', 'â€', 'Saves']
88;88;2018-03-02 11:07:40;141263;969529668234829824;False;28793;Twitter for iPhone;Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me was agony. Alec, it was agony for those who were forced to watch. Bring back Darrell Hammond, funnier and a far greater talent!;-0.1007;['decades', 'pace']
89;89;2018-03-02 10:50:34;100771;969525362580484096;False;22759;Twitter for iPhone;When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with, trade wars are good, and easy to win. Example, when we are down $100 billion with a certain country and they get cute, donâ€™t trade anymore-we win big. Itâ€™s easy!;0.9381;['neighbors', 'times', 'family']
90;90;2018-03-02 10:42:42;5732;969523385016471552;False;1566;Twitter for iPhone;Alex Baldwin, whose dieing mediocre career was saved by his impersonation of me on SNL, now says playing DJT was agony for him. Alex, it was also agony for those who were forced to watch. You were terrible. Bring back Darrell Hammond, much funnier and a far greater talent!;-0.1007;['November', 'Highest', 'Confidence']
91;91;2018-03-02 03:04:51;94014;969408165308747776;False;17482;Twitter for iPhone;Good (Great) meeting in the Oval Office tonight with the NRA!;0.4926;['U.S', 'Fastest', ' Pace']
92;92;2018-03-02 02:59:37;0;969406846602752000;True;6259;Twitter for iPhone;RT @IvankaTrump: My OpEd on the importance of #YouthSports participation and how this Administration is seeking to lift barriers so all ourâ€¦;0.3612;['JOBS', 't.co/SzHTarzfrW', 'news']
93;93;2018-03-02 02:58:35;0;969406584534257664;True;10347;Twitter for iPhone;RT @Scavino45: â€œTrump Comes Through â€” Saves $1.4 Billion On New Air Force Oneâ€� https://t.co/cN3TAQywpR;0.0;['policy', 'workers', 'industries']
94;94;2018-03-02 00:52:43;75717;969374909209239552;False;14782;Twitter for iPhone;Manufacturing growing at the fastest pace in almost two decades!;0.2481;['school', 'years', 'safety']
96;96;2018-03-01 21:31:32;51815;969324283036971008;False;11784;Media Studio;"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to love and support our neighbors in times of dire need. Working together, we will defeat this #OpioidEpidemic.
Full Opioid Summit: https://t.co/qqfeVr4BBf https://t.co/oFvr0DJMEf";0.596;['men', 'prayer', 'love']
97;97;2018-03-01 20:40:52;47063;969311530733981696;False;10663;Twitter for iPhone;â€œConsumer Confidence in February Highest Since November 2000â€� https://t.co/UgAJRawExx;0.5106;['people', 't.co/z1vvAemlBP', 'day']
98;98;2018-03-01 18:26:55;48714;969277822920470528;False;11428;Twitter for iPhone;â€œManufacturing in U.S. Expands at Fastest Pace Since May 2004â€� https://t.co/XZkwS8tTml;0.1027;['prayer', 't.co/5aMh8nFPJW', 'power']
99;99;2018-03-01 18:06:30;59254;969272683061022720;False;15068;Twitter for iPhone;Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW;-0.1759;['guy', 'forever', 'Will']
100;100;2018-03-01 12:12:42;103849;969183644756660224;False;22790;Twitter for iPhone;Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy with countries from around the world. We must not let our country, companies and workers be taken advantage of any longer. We want free, fair and SMART TRADE!;0.6155;['year', 'border', 'job']
101;101;2018-03-01 11:53:58;79666;969178931369783296;False;17420;Twitter for iPhone;"Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the White House. Background Checks a big part of conversation. Gun free zones are proven targets of killers. After many years, a Bill should emerge. Respect 2nd Amendment!";0.8221;['Wall', 'courts', 'SECURITY']
102;102;2018-02-28 21:34:16;53606;968962582374621184;False;11747;Media Studio;It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As we continue to mourn the loss of so many precious young lives in Parkland, we are determined to turn our grief into action. Full meeting: https://t.co/tbl94sCM01 https://t.co/TmUMusoR9x;0.9108;['Heritage', 'volume', 'spectrum']
103;103;2018-02-28 19:01:34;73097;968924154031497216;False;17342;Twitter for iPhone;"Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our country: that all across this land, the Lord will raise up men and women like Billy Graham to spread a message of love and hope to every precious child of God. https://t.co/EM4lZUZpX9";0.9698;['project', 'today', 'government']
